21030	Каскад оглушений	210100	icon_skills.hardslash_tex	Весомый каскад оглушений	icon_crest.e_crestnextskillmpdown_tex	На 88 MP снижает стоимость умения "Град ударов" на несколько секунд.
21031	Каскад оглушений	210100	icon_skills.hardslash_tex	Лихой каскад оглушений	icon_crest.e_crestnextskillattackup_tex	На 20% повышает урон умения "Град ударов" на несколько секунд.
21032	Каскад оглушений	210100	icon_skills.hardslash_tex	Стремительный каскад оглушений	icon_crest.e_crestactivecooltimereset_tex	Снижает время перезарядки на 25%.
21033	Нарастающая ярость	190100	icon_skills.tenaciousattack_tex	Ошеломляющая нарастающая ярость	icon_crest.e_crestactiveattackspeeddown_tex	10% вероятность на 7 секунд понизить скорость атаки противника на 15%.
21034	Шквал ударов	30100	icon_skills.nanmu_tex	Сковывающий шквал ударов	icon_crest.e_crestactivespeeddown_tex	25% вероятность обездвижить цель на 4 секунды.
21035	Разъяряющий порез	160100	icon_skills.rushingslash_tex	Лихой разъяряющий порез	icon_crest.e_crestnextskillattackup_tex	На 20% повышает урон умения "Удар воина" на несколько секунд.
21036	Удар в спину	220100	icon_skills.backattack_tex	Стремительный удар в спину	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 25%.
21037	Ошеломление	230100	icon_skills.reversalturningattack_tex	Задерживающее ошеломление	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21038	Ошеломление	230100	icon_skills.reversalturningattack_tex	Стремительное ошеломление	icon_crest.e_crestactivecooltimereset_tex	Снижает время перезарядки на 20%.
21039	Комбо-атака	10100	icon_skills.comboattack_tex	Иссушающая комбо-атака	icon_crest.e_crestactivestun_tex	5% вероятность оглушить цель на 2 секунды.
21040	Боевой клич	50100	icon_skills.thunderingroar_tex	Ускоренный боевой клич	icon_crest.e_crestpassiveskillspeedup_tex	Повышает скорость использования на 50%.
21041	Боевой клич	50100	icon_skills.thunderingroar_tex	Звонкий боевой клич	icon_crest.e_crestpassivethorns_tex	Повышает вероятность срабатывания эффекта на 10%.
21042	Боевой клич	50100	icon_skills.thunderingroar_tex	Угрожающий боевой клич	icon_crest.e_crestpassiveaggroup_tex	Дает 100% дополнительной агрессии.
21043	Удар воина	180100	icon_skills.aggravatingstrike_tex	Задерживающий удар воина	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21044	Удар воина	180100	icon_skills.aggravatingstrike_tex	Лихой удар воина	icon_crest.e_crestnextskillattackup_tex	На 35% повышает урон умения "Удар в прыжке" на несколько секунд.
21045	Круговой удар	170100	icon_skills.allroundslash_tex	Неутомимый круговой удар	icon_crest.e_crestactivecooltimereset_tex	30% вероятность сбросить время перезарядки.
21046	Уклонение	20100	icon_skills.tumbling_tex	Восстанавливающее уклонение	icon_crest.e_crestnextskillhpheal_tex	Немедленно восстанавливает 3% от общего количества HP при использовании умения "Отравленный клинок".
21047	Смерть с небес	100100	icon_skills.evasionattack_tex	Тест	icon_skills.voidtrap_tex	Нет эффекта
21048	Наскок	270100	icon_skills.heavybite_tex	Быстрый наскок	icon_crest.e_crestactiveattackspeedup_tex	Повышает скорость атаки умения "Наскок" на 30%.
21049	Наскок	270100	icon_skills.heavybite_tex	Стремительный наскок	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
21050	Прорезающий выпад	280100	icon_skills.dualrapidpiercing_tex	Задерживающий прорезающий выпад	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21051	Прорезающий выпад	280100	icon_skills.dualrapidpiercing_tex	Блистательный прорезающий выпад	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 75 MP.
21052	Рваная рана	290100	icon_skills.dualslash_tex	Усиленная рваная рана	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25% и увеличивает получение преимущества от него.
21053	Рваная рана	290100	icon_skills.dualslash_tex	Блистательная рваная рана	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 150 MP.
21054	Рваная рана	290100	icon_skills.dualslash_tex	Неутомимая рваная рана	icon_crest.e_crestactivecooltimereset_tex	50% вероятность сбросить время перезарядки.
21064	Град ударов	40100	icon_skills.pointattack_tex	Усиленный град ударов	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
21065	Смерть с небес	100100	icon_skills.evasionattack_tex	Неизбежная смерть с небес	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 30%.
21066	Град ударов	40100	icon_skills.pointattack_tex	Восстанавливающий град ударов	icon_crest.e_crestpassivehpheal_tex	Немедленно восстанавливает 0,5% HP.
21067	Уклонение	20100	icon_skills.tumbling_tex	Нескончаемое уклонение	icon_crest.e_crestactivecooltimereset_tex	Уменьшает затраты решительности на 100 единиц.
21068	Защитная стойка	90100	icon_skills.ironwillb_tex	Несокрушимая защитная стойка	icon_crest.e_crestpassiveskilleffectup_tex	+20% к выносливости.
21069	Удар воина	180100	icon_skills.aggravatingstrike_tex	Живительный удар воина	icon_crest.e_crestpassivehpdown_tex	Снижает расход HP на 50%.
21070	Комбо-атака	10100	icon_skills.comboattack_tex	Энергичная комбо-атака	icon_crest.e_crestpassivemprecoveryup_tex	+35% к количеству восстанавливаемых MP.
21071	Призрачный воин	240100	icon_skills.decoy_tex	Стремительный призрачный воин	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 25%.
21072	Удар воина	180100	icon_skills.aggravatingstrike_tex	Лихой удар воина	icon_crest.e_crestnextskillattackup_tex	На 45% повышает урон умения "Удар в прыжке" на несколько секунд.
21073	Разъяряющий порез	160100	icon_skills.rushingslash_tex	Лихой разъяряющий порез	icon_crest.e_crestnextskillattackup_tex	На 50% повышает урон умения "Удар воина" на несколько секунд.
21074	Смерть с небес	100100	icon_skills.evasionattack_tex	Неотвратимая смерть с небес	icon_crest.e_crestactivedefenceup_tex	+25 к выносливости на 8 секунд.
21075	Удар в спину	220100	icon_skills.backattack_tex	Выгодный удар в спину	icon_crest.e_crestactiveattackspeedup_tex	Повышает скорость набора преимущества воина на 1.
21076	Каскад оглушений	210100	icon_skills.hardslash_tex	Усиленный каскад оглушений	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
21077	Каскад оглушений	210100	icon_skills.hardslash_tex	Задерживающий каскад оглушений	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 25%.
21078	Ошеломление	230100	icon_skills.reversalturningattack_tex	Лихое ошеломление	icon_crest.e_crestnextskillattackup_tex	На 10% повышает урон умения "Каскад оглушений" на несколько секунд.
21079	Коса	300100	icon_skills.raker_tex	Режущая коса	icon_crest.e_crestpassivecriticalup_tex	Удваивает вероятность нанесения критического удара.
21080	Коса	300100	icon_skills.raker_tex	Мощная коса	icon_crest.e_crestpassiveattackup_tex	Повышает дополнительный урон от преимущества воина на 25%.
21081	Удар в спину	220100	icon_skills.backattack_tex	Задерживающий удар в спину	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
21082	Наскок	270100	icon_skills.heavybite_tex	Быстрый наскок	icon_crest.e_crestactiveattackspeedup_tex	Повышает скорость атаки умения "Наскок" на 30%.
21083	Отравленный клинок	110100	icon_skills.poisonblowattack_tex	Накапливающий отравленный клинок	icon_crest.e_crestactiveattackspeedup_tex	Урон умения "Отравленный клинок" суммируется до двух раз.
21084	Рваная рана	290100	icon_skills.dualslash_tex	Выгодная рваная рана	icon_crest.e_crestactiveattackspeedup_tex	Увеличивает получаемое преимущество воина на 1 за каждый удар.
21085	Удар жнеца	310100	icon_skills.rupture_tex	Усиленный удар жнеца	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
21086	Скрещенные мечи	320100	icon_skills.twinswordsdefence_tex	Пульсирующие скрещенные мечи	icon_crest.e_crestactiveattackup_tex	30% вероятность при успешном блоке на 10 секунд повысить силу на 15%.
21087	Теневой удар	330100	icon_skills.shadowchange_tex	Угрожающий теневой удар	icon_crest.e_crestpassiveaggroup_tex	Дает 20% дополнительной агрессии.
21088	Связующий меч	340100	icon_skills.bindingblade_tex	Мощный связующий меч	icon_crest.e_crestpassiveattackup_tex	Повышает наносимый умением урон на 20%.
21089	Связующий меч	340100	icon_skills.bindingblade_tex	Мощный связующий меч	icon_crest.e_crestpassiveattackup_tex	Повышает наносимый умением урон на 20%.
21090	Связующий меч	340100	icon_skills.bindingblade_tex	Стремительный связующий меч	icon_crest.e_crestpassivecooltimedown_tex	+ 20% к скорости перезарядки умения.
21091	Смертельная игра	200100	icon_skills.deadlywill_tex	Задерживающая смертельная игра	icon_crest.e_crestpassivedurationup_tex	+20% к продолжительности эффекта.
21092	Связующий меч	340100	icon_skills.bindingblade_tex	Стремительный связующий меч	icon_crest.e_crestpassivecooltimedown_tex	+ 20% к скорости перезарядки умения.
21093	Вспышка гнева	350100	icon_skills.provokerage_tex	Замедляющая вспышка гнева	icon_crest.e_crestpassivespeeddown_tex	На 5 секунд снижает скорость перемещения противника на 50%.
21094	Вспышка гнева	350100	icon_skills.provokerage_tex	Стремительная вспышка гнева	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
22000	Незыблемость	20100	icon_skills.defence_tex	Пульсирующая незыблемость	icon_crest.e_crestactiveattackup_tex	30% вероятность при успешном блоке на 10 секунд повысить силу на 15%.
22001	Незыблемость	20100	icon_skills.defence_tex	Лихая незыблемость	icon_crest.e_crestnextskillattackup_tex	На 25% повышает урон умения "Контрудар" на несколько секунд.
22002	Незыблемость	20100	icon_skills.defence_tex	Весомая незыблемость	icon_crest.e_crestnextskillmpdown_tex	На 115 MP снижает стоимость умения "Контрудар" на несколько секунд.
22003	Комбо-атака	10100	icon_skills.comboattack_tex	Угрожающая комбо-атака	icon_crest.e_crestpassiveaggroup_tex	Дает 5% дополнительной агрессии.
22004	Агрессивный крик	40100	icon_skills.roar_tex	Угрожающий агрессивный крик	icon_crest.e_crestpassiveaggroup_tex	Дает 20% дополнительной агрессии.
22005	Агрессивный крик	40100	icon_skills.roar_tex	Блистательный агрессивный крик	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 60 MP.
22006	Вспышка гнева	120100	icon_skills.provokerage_tex	Замедляющая вспышка гнева	icon_crest.e_crestpassivespeeddown_tex	На 5 секунд снижает скорость перемещения противника на 50%.
22007	Натиск	30100	icon_skills.screwthrough_tex	Усиленный натиск	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
22008	Контрудар	80100	icon_skills.riposte_tex	Тест	icon_skills.voidtrap_tex	Нет эффекта
22009	Удар щитом	50100	icon_skills.shieldstrike_tex	Гулкий удар щитом	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 25%.
22010	Клич стража	70100	icon_skills.inspiringroar_tex	Блистательный клич стража	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 200 MP.
22012	Ответный удар	110100	icon_skills.risingattack_tex	Усиленный ответный удар	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
22013	Штурм	180100	icon_skills.shieldattack_tex	Блистательный штурм	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 19 MP.
22015	Комбо-атака	10100	icon_skills.comboattack_tex	Энергичная комбо-атака	icon_crest.e_crestpassivemprecoveryup_tex	+20% к количеству восстанавливаемых MP.
22016	Изнурение	100100	icon_skills.armorbreak_tex	Подгоняемое изнурение	icon_crest.e_crestactivempzero_tex	С вероятностью 35% позволяет использовать умение без затрат МР.
22017	Гарпун	90100	icon_skills.hookthrow_tex	Стремительный гарпун	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
22018	Вспышка гнева	120100	icon_skills.provokerage_tex	Стремительная вспышка гнева	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
22019	Удар щитом	50100	icon_skills.shieldstrike_tex	Стремительный удар щитом	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 25%.
22020	Молниеносный бросок	150100	icon_skills.advancingcharge_tex	Усиленный молниеносный бросок	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
22021	Второе дыхание	160100	icon_skills.rejuvenation_tex	Стремительное второе дыхание	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 25%.
22022	Выброс адреналина	170100	icon_skills.fightingwill_tex	Быстрый выброс адреналина	icon_crest.e_crestpassiveskilleffectup_tex	+10% к скорости атаки.
22023	Атака с выпадом	130100	icon_skills.leaprampage_tex	Блистательная атака с выпадом	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 160 MP.
22024	Ответный удар	110100	icon_skills.risingattack_tex	Стремительный ответный удар	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
22025	Грозный вал	200100	icon_skills.menacewave_tex	Блистательный грозный вал	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 60 MP.
22026	Железная воля	220100	icon_skills.armoredwill_tex	Задерживающая железная воля	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
22027	Гарпун мастера	230100	icon_skills.chaincapture_tex	Неутомимый гарпун мастера	icon_crest.e_crestactivecooltimereset_tex	30% вероятность сбросить время перезарядки.
22028	Калечащий удар	210100	icon_skills.shockblow_tex	Усиленный калечащий удар	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 20%.
22029	Клятва защиты	190100	icon_skills.vowofprotection_tex	Стремительная клятва защиты	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
22030	Атака с выпадом	130100	icon_skills.leaprampage_tex	Усиленная атака с выпадом	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
22031	Агрессивный крик	40100	icon_skills.roar_tex	Тест	icon_skills.voidtrap_tex	Нет эффекта
22032	Натиск	30100	icon_skills.screwthrough_tex	Блистательный натиск	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 100 MP.
22033	Контрудар	80100	icon_skills.riposte_tex	Угрожающий контрудар	icon_crest.e_crestpassiveaggroup_tex	Дает 100% дополнительной агрессии.
22034	Изнурение	100100	icon_skills.armorbreak_tex	Задерживающее изнурение	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 100%.
22035	Удар щитом	50100	icon_skills.shieldstrike_tex	Полыхающий удар щитом	icon_crest.e_crestnextskillattackspeedup_tex	Ускоряет на 25% умение "Натиск" на несколько секунд.
22036	Клятва защиты	190100	icon_skills.vowofprotection_tex	Восстанавливающая клятва защиты	icon_crest.e_crestactivehprecoveryup_tex	На 20 секунд повышает эффективность восстановления HP на 20%.
22037	Клич стража	70100	icon_skills.inspiringroar_tex	Стремительный клич стража	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 25%.
22038	Грозный вал	200100	icon_skills.menacewave_tex	Задерживающий грозный вал	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
22039	Молниеносный бросок	150100	icon_skills.advancingcharge_tex	Стремительный молниеносный бросок	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
22040	Молниеносный бросок	150100	icon_skills.advancingcharge_tex	Проворный молниеносный бросок	icon_crest.e_crestactivespeedup_tex	На 7 секунд повышает скорость перемещения в бою на 10.
22041	Железная воля	220100	icon_skills.armoredwill_tex	Парирующая железная воля	icon_crest.e_crestpassiveskilleffectup_tex	Увеличивает поглощение урона на 25%.
22042	Калечащий удар	210100	icon_skills.shockblow_tex	Замедляющий калечащий удар	icon_crest.e_crestpassiveskilleffectup_tex	Снижает скорость перемещения противника еще на 30%.
22043	Гарпун	90100	icon_skills.hookthrow_tex	Дальнобойный гарпун	icon_crest.e_crestpassiverangeup_tex	Увеличивает дальность на 3 метра.
22044	Гарпун	90100	icon_skills.hookthrow_tex	Замедляющий гарпун	icon_crest.e_crestpassivespeeddown_tex	На 4 секунды снижает скорость перемещения противника на 50%.
22045	Удар щитом	50100	icon_skills.shieldstrike_tex	Гулкий удар щитом	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 25%.
22046	Удар щитом	50100	icon_skills.shieldstrike_tex	Стремительный удар щитом	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 25%.
22047	Гарпун	90100	icon_skills.hookthrow_tex	Стремительный гарпун	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
22048	Комбо-атака	10100	icon_skills.comboattack_tex	Угрожающая комбо-атака	icon_crest.e_crestpassiveaggroup_tex	Дает 5% дополнительной агрессии.
22049	Агрессивный крик	40100	icon_skills.roar_tex	Блистательный агрессивный крик	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 60 MP.
22050	Калечащий удар	210100	icon_skills.shockblow_tex	Замедляющий калечащий удар	icon_crest.e_crestpassiveskilleffectup_tex	Снижает скорость перемещения противника еще на 30%.
22051	Натиск	30100	icon_skills.screwthrough_tex	Блистательный натиск	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 250 MP.
22052	Клич стража	70100	icon_skills.inspiringroar_tex	Стремительный клич стража	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 35%.
22053	Вспышка гнева	120100	icon_skills.provokerage_tex	Замедляющая вспышка гнева	icon_crest.e_crestpassivespeeddown_tex	На 5 секунд снижает скорость противника на 50%.
22054	Гарпун	90100	icon_skills.hookthrow_tex	Ошеломляющий гарпун	icon_crest.e_crestpassivetargetspeeddown_tex	-40% к скорости атаки противника на 4 секунды.
22055	Гарпун	90100	icon_skills.hookthrow_tex	Угрожающий гарпун	icon_crest.e_crestpassiveaggroup_tex	Дает 30% дополнительной агрессии.
22056	Агрессивный крик	40100	icon_skills.roar_tex	Ускоренный агрессивный крик	icon_crest.e_crestpassiveskillspeedup_tex	Повышает скорость использования на 25%.
22057	Агрессивный крик	40100	icon_skills.roar_tex	Несокрушимый агрессивный крик	icon_crest.e_crestactivedefenceup_tex	+21 к выносливости после успешного попадания.
22058	Натиск	30100	icon_skills.screwthrough_tex	Режущий натиск	icon_crest.e_crestpassivecriticalup_tex	Удваивает вероятность критического удара.
22059	Калечащий удар	210100	icon_skills.shockblow_tex	Угрожающий калечащий удар	icon_crest.e_crestpassiveaggroup_tex	Дает 50% дополнительной агрессии.
22060	Идеальный гарпун	240100	icon_skills.harpoonshot_tex	Стремительный идеальный гарпун	icon_crest.e_crestpassivecooltimedown_tex	Снижает время перезарядки на 20%.
22061	Идеальный гарпун	240100	icon_skills.harpoonshot_tex	Задерживающий идеальный гарпун	icon_crest.e_crestpassivedurationup_tex	Увеличивает продолжительность эффекта на 50%.
22062	Комбо-атака	10100	icon_skills.comboattack_tex	Энергичная комбо-атака	icon_crest.e_crestpassivemprecoveryup_tex	+20% к количеству восстанавливаемых MP.
22063	Контрудар	80100	icon_skills.riposte_tex	Угрожающий контрудар	icon_crest.e_crestpassiveaggroup_tex	Дает 100% дополнительной агрессии.
22064	Штурм	180100	icon_skills.shieldattack_tex	Угрожающий штурм	icon_crest.e_crestpassiveaggroup_tex	Дает 200% дополнительной агрессии.
22065	Атака с выпадом	130100	icon_skills.leaprampage_tex	Ошеломляющая атака с выпадом	icon_crest.e_crestactiveattackspeeddown_tex	30% вероятность на 7 секунд понизить скорость атаки противника на 30%.
22066	Буйство силы	250100	icon_skills.overhelm_tex	Усиленное буйство силы	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
22067	Отступление	260100	icon_skills.backstep_tex	Нескончаемое отступление	icon_crest.e_crestpassivecooltimedown_tex	Уменьшает затраты решительности на 100 единиц.
22068	Агрессивный крик	40100	icon_skills.roar_tex	Мощный агрессивный крик	icon_crest.e_creststrecover_tex	Увеличивает количество восстанавливаемой решимости на 30%.
22069	Контрудар	80100	icon_skills.riposte_tex	Мощный контрудар	icon_crest.e_creststrecover_tex	Увеличивает количество восстанавливаемой решимости на 50%.
22070	Второе дыхание	160100	icon_skills.rejuvenation_tex	Мощное второе дыхание	icon_crest.e_creststrecover_tex	Восстанавливает на 20% больше решимости.
22071	Незыблемость 	20100	icon_skills.defence_tex	Дюжая незыблемость	icon_crest.e_creststrecover_tex	Увеличивает максимальную решимость на 500.
22072	Фронтальная защита	270100	icon_skills.holdtheline_tex	Стремительный сзывающий клич	icon_crest.e_crestpassivecooltimedown_tex	+ 20% к скорости перезарядки умения.
22073	Фронтальная защита	270100	icon_skills.holdtheline_tex	Задерживающий сзывающий клич	icon_crest.e_crestpassivedurationup_tex	+30% к продолжительности эффекта.
22074	Фронтальная защита	270100	icon_skills.holdtheline_tex	Блистательный сзывающий клич	icon_crest.e_crestpassivempdown_tex	-150 MP к стоимости.
22075	Фронтальная защита	270100	icon_skills.holdtheline_tex	Угрожающий сзывающий клич	icon_crest.e_crestpassiveaggroup_tex	+100% дополнительной агрессии.
22076	Фронтальная защита	270100	icon_skills.holdtheline_tex	Угрожающий сзывающий клич	icon_crest.e_crestpassiveaggroup_tex	+100% дополнительной агрессии.
22077	Фронтальная защита	270100	icon_skills.holdtheline_tex	Задерживающий сзывающий клич	icon_crest.e_crestpassivedurationup_tex	+30% к продолжительности эффекта.
22078	Фронтальная защита	270100	icon_skills.holdtheline_tex	Стремительный сзывающий клич	icon_crest.e_crestpassivecooltimedown_tex	+ 20% к скорости перезарядки умения.
23000	Уклонение	40100	icon_skills.tumbling_tex	Проворное уклонение	icon_crest.e_crestactivespeedup_tex	30% вероятность на 10 секунд повысить скорость перемещения в бою на 15%.
23001	Комбо-атака	10100	icon_skills.comboattack_tex	Быстрая комбо-атака	icon_crest.e_crestactiveattackspeedup_tex	10% вероятность на 10 секунд повысить скорость атаки на 15%.
23002	Комбо-атака	10100	icon_skills.comboattack_tex	Усиленная комбо-атака	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
23003	Концентрация силы	180100	icon_skills.gatheringstrength_tex	Блистательная концентрация силы	icon_crest.e_crestpassivempdown_tex	Снижает стоимость на 33 MP.
23004	Нокаутирующий удар	20100	icon_skills.handyslash_tex	Усиленный нокаутирующий удар	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
23005	Ответный удар	100100	icon_skills.risingattack_tex	Усиленный ответный удар	icon_crest.e_crestpassiveattackup_tex	Повышает урон умения на 25%.
23007	Нокаутирующий удар	20100	icon_skills.handyslash_tex	Лихой нокаутирующий удар	icon_crest.e_crestnextskillattackup_tex	На 25% повышает урон умения "Смерч" на несколько секунд.
23008	Ответный удар	100100	icon_skills.risingattack_tex	Лихой ответный удар	icon_crest.e_crestnextskillattackup_tex	На 25% повышает урон умения "Удар в прыжке" на несколько секунд.
23009	Рубящий удар	80100	icon_skills.cuttingslash_tex	Неутомимый рубящий удар	icon_crest.e_crestactivecooltimereset_tex	50% вероятность сбросить время перезарядки.
23010	Комбо-атака	10100	icon_skills.comboattack_tex	Энергичная комбо-атака	icon_crest.e_crestpassivemprecoveryup_tex	+10% к количеству восстанавливаемых MP.
